account_id,label,scheme,t0_amount,t0_direction,t0_country,t0_hour,t0_gap_hours,t1_amount,t1_direction,t1_country,t1_hour,t1_gap_hours,t2_amount,t2_direction,t2_country,t2_hour,t2_gap_hours,t3_amount,t3_direction,t3_country,t3_hour,t3_gap_hours,t4_amount,t4_direction,t4_country,t4_hour,t4_gap_hours,t5_amount,t5_direction,t5_country,t5_hour,t5_gap_hours,t6_amount,t6_direction,t6_country,t6_hour,t6_gap_hours,t7_amount,t7_direction,t7_country,t7_hour,t7_gap_hours,t8_amount,t8_direction,t8_country,t8_hour,t8_gap_hours,t9_amount,t9_direction,t9_country,t9_hour,t9_gap_hours,t10_amount,t10_direction,t10_country,t10_hour,t10_gap_hours,t11_amount,t11_direction,t11_country,t11_hour,t11_gap_hours,t12_amount,t12_direction,t12_country,t12_hour,t12_gap_hours,t13_amount,t13_direction,t13_country,t13_hour,t13_gap_hours,t14_amount,t14_direction,t14_country,t14_hour,t14_gap_hours,t15_amount,t15_direction,t15_country,t15_hour,t15_gap_hours,t16_amount,t16_direction,t16_country,t16_hour,t16_gap_hours,t17_amount,t17_direction,t17_country,t17_hour,t17_gap_hours,t18_amount,t18_direction,t18_country,t18_hour,t18_gap_hours,t19_amount,t19_direction,t19_country,t19_hour,t19_gap_hours,t20_amount,t20_direction,t20_country,t20_hour,t20_gap_hours,t21_amount,t21_direction,t21_country,t21_hour,t21_gap_hours,t22_amount,t22_direction,t22_country,t22_hour,t22_gap_hours,t23_amount,t23_direction,t23_country,t23_hour,t23_gap_hours,t24_amount,t24_direction,t24_country,t24_hour,t24_gap_hours,t25_amount,t25_direction,t25_country,t25_hour,t25_gap_hours,t26_amount,t26_direction,t26_country,t26_hour,t26_gap_hours,t27_amount,t27_direction,t27_country,t27_hour,t27_gap_hours,t28_amount,t28_direction,t28_country,t28_hour,t28_gap_hours,t29_amount,t29_direction,t29_country,t29_hour,t29_gap_hours
811,0,clean,541.14,IN,US,10,55.3,73.93,IN,US,12,60.7,61.42,OUT,GB,19,39.9,76.99,OUT,US,15,43.4,38.36,IN,GB,11,30.3,114.84,OUT,GB,12,56.2,72.88,OUT,US,22,41.3,70.26,OUT,GB,16,29.1,33.14,OUT,CA,10,33.2,15.62,IN,CA,13,33.3,36.56,OUT,US,14,53.0,68.45,OUT,GB,20,12.3,38.25,IN,GB,17,22.7,68.95,OUT,US,14,56.2,45.34,OUT,US,21,66.2,77.05,IN,CA,16,25.7,24.99,IN,US,19,70.7,63.71,IN,GB,10,60.8,32.7,OUT,US,11,66.6,15.95,IN,US,22,27.3,47.84,IN,CA,19,31.7,186.62,OUT,CA,9,14.7,17.0,OUT,US,21,33.4,60.07,OUT,CA,10,33.9,103.34,OUT,US,8,18.8,343.79,OUT,US,11,42.3,36.81,OUT,GB,22,56.3,32.93,IN,US,20,16.8,21.47,IN,CA,17,44.1,135.97,OUT,US,13,44.7
76,0,clean,13.73,OUT,CA,9,54.3,31.75,OUT,US,14,60.4,141.92,OUT,US,13,47.3,24.9,OUT,US,21,38.2,37.66,OUT,US,9,43.7,79.02,IN,GB,10,18.9,102.18,IN,US,20,29.1,44.65,OUT,CA,18,17.4,33.85,OUT,US,10,22.2,170.36,IN,US,14,13.6,219.45,IN,CA,22,17.9,119.47,OUT,US,8,31.5,58.45,OUT,GB,11,24.2,28.6,OUT,CA,9,41.6,28.1,OUT,CA,16,28.2,82.93,OUT,US,14,36.4,76.3,IN,US,16,50.0,167.55,IN,US,20,69.8,91.87,IN,US,17,45.3,16.4,IN,GB,11,36.4,126.67,IN,US,16,59.0,24.57,IN,GB,14,71.1,40.16,OUT,CA,8,69.7,66.7,OUT,GB,12,12.1,269.49,IN,US,8,51.2,657.16,OUT,US,17,68.0,88.71,OUT,US,21,27.1,47.16,OUT,GB,12,49.9,83.73,OUT,GB,9,14.7,111.07,OUT,US,21,30.0
636,0,clean,38.67,OUT,US,20,59.4,37.53,IN,US,21,29.6,78.03,OUT,US,19,19.2,50.2,OUT,GB,15,54.4,29.89,OUT,US,15,68.6,132.08,IN,US,17,36.4,61.09,IN,US,13,60.9,77.35,IN,US,21,28.6,13.74,OUT,US,9,38.1,7.85,IN,US,22,52.1,17.29,OUT,GB,10,69.7,37.17,OUT,US,18,60.9,86.58,IN,US,18,32.9,8.38,OUT,US,18,13.5,195.25,OUT,US,14,22.6,62.58,IN,GB,11,58.0,162.1,IN,US,18,48.6,26.88,IN,US,19,55.8,81.7,OUT,CA,13,71.9,58.45,OUT,GB,19,36.7,105.02,OUT,CA,21,17.7,45.28,IN,CA,21,16.3,79.72,OUT,US,20,60.5,131.86,IN,US,11,28.3,32.43,OUT,CA,10,13.3,66.27,IN,US,18,31.3,12.06,OUT,GB,15,56.8,95.78,OUT,US,8,60.3,260.79,OUT,GB,16,35.8,20.18,OUT,CA,21,40.4
973,1,dormant_burst,78.65,OUT,US,11,413.4,21.84,OUT,GB,10,333.3,12.54,OUT,US,11,502.3,63.02,OUT,GB,15,506.3,10.96,OUT,US,11,602.6,81.19,OUT,US,16,329.4,41.11,OUT,US,18,477.4,65.56,OUT,US,14,762.5,86.47,OUT,US,11,538.4,67.09,OUT,CA,12,289.1,26.65,OUT,US,17,723.0,55.64,IN,CA,10,282.4,97.22,IN,US,17,628.0,17.58,IN,GB,14,734.7,22.3,OUT,US,17,402.2,62.01,IN,CA,13,490.4,52.92,IN,US,11,639.6,95.01,IN,US,8,669.4,82.66,IN,US,14,678.8,43.24,OUT,US,10,747.6,91758.62,OUT,NL,6,3.0,232620.43,OUT,SG,1,1.7,185462.24,OUT,FR,6,2.5,191003.81,IN,NG,6,2.7,167806.78,IN,CU,4,1.6,229993.45,OUT,IR,1,0.6,227344.98,OUT,VE,5,2.8,130463.55,IN,JP,2,0.8,240219.77,IN,IR,0,1.9,230441.56,OUT,NG,3,2.8
938,0,clean,100.81,OUT,CA,22,34.6,63.32,IN,US,22,66.6,48.33,OUT,US,20,63.1,54.71,IN,US,17,42.2,52.64,OUT,US,16,14.3,46.19,OUT,US,15,17.0,82.57,IN,GB,12,50.8,77.83,OUT,US,9,45.2,15.53,IN,US,22,43.5,49.14,IN,US,18,62.8,16.37,OUT,US,15,64.6,90.78,IN,GB,20,40.8,100.9,OUT,CA,9,51.3,33.49,IN,GB,18,28.8,49.73,OUT,GB,12,35.7,10.08,IN,US,21,26.6,118.89,IN,US,12,13.7,96.33,OUT,US,11,29.0,137.01,IN,CA,19,41.6,179.33,IN,US,21,40.3,20.51,OUT,US,21,17.8,111.1,IN,CA,20,58.0,178.3,IN,US,8,35.6,16.52,OUT,US,20,38.0,47.61,OUT,US,11,24.5,40.82,OUT,US,18,54.5,108.24,OUT,CA,14,16.3,8.04,IN,US,8,18.6,233.4,IN,GB,18,35.4,49.9,OUT,GB,13,24.2
899,0,clean,24.92,IN,GB,16,49.8,80.58,OUT,GB,18,29.3,39.65,IN,GB,12,39.1,73.66,IN,CA,13,39.9,50.08,IN,CA,19,46.2,10.59,IN,US,22,37.8,155.23,IN,CA,14,53.5,286.11,IN,US,19,57.6,47.4,OUT,CA,13,65.8,26.62,IN,US,19,56.2,182.15,OUT,US,22,67.9,247.72,OUT,CA,10,65.6,47.7,OUT,US,9,66.4,45.84,OUT,CA,19,12.7,51.22,OUT,US,18,54.2,14.3,OUT,CA,8,28.5,43.25,IN,US,22,68.0,215.28,IN,GB,15,55.0,47.71,OUT,US,19,24.4,23.76,OUT,US,18,35.9,81.24,OUT,US,13,67.0,32.02,IN,GB,8,58.5,51.77,IN,US,14,32.9,19.78,IN,US,12,31.9,23.82,IN,US,15,54.6,98.51,IN,US,16,71.5,59.9,OUT,US,19,42.0,29.35,IN,US,20,50.4,60.08,OUT,US,20,43.1,33.59,OUT,US,16,40.3
280,0,clean,65.83,OUT,US,15,39.4,138.66,IN,GB,17,14.5,90.04,OUT,US,14,65.6,47.68,OUT,GB,10,25.4,161.08,OUT,US,18,64.8,8.23,IN,CA,20,59.1,281.93,OUT,US,10,26.3,13.95,OUT,US,10,45.2,33.06,IN,CA,16,51.6,52.84,IN,US,11,70.0,48.56,IN,US,8,21.8,122.14,IN,GB,17,59.3,23.42,OUT,US,14,67.7,67.26,OUT,US,21,13.4,34.38,OUT,GB,12,62.9,69.14,IN,CA,17,54.5,51.84,IN,US,13,32.6,58.81,OUT,US,20,38.3,35.17,OUT,US,10,20.4,36.3,IN,CA,19,42.4,68.7,IN,CA,21,62.1,116.16,OUT,GB,22,68.4,33.83,OUT,US,16,61.7,27.25,OUT,US,9,40.7,89.19,OUT,GB,20,19.0,53.2,IN,US,13,12.6,106.1,IN,GB,20,69.8,26.45,IN,CA,14,12.4,13.15,OUT,US,13,57.6,35.64,IN,CA,16,32.0
883,0,clean,46.86,OUT,US,11,70.2,33.03,IN,US,22,49.3,452.29,IN,US,14,29.2,125.28,IN,US,8,64.2,127.06,IN,CA,12,60.8,317.91,OUT,GB,9,60.6,103.73,OUT,CA,11,28.9,29.47,IN,US,14,44.9,26.83,IN,CA,14,40.5,118.15,OUT,US,18,21.7,10.51,OUT,GB,13,64.4,51.3,IN,US,10,59.7,9.61,OUT,US,8,63.2,59.09,OUT,CA,21,45.7,108.12,IN,US,8,57.8,68.27,OUT,CA,16,20.6,115.64,OUT,GB,15,48.3,262.92,OUT,US,9,52.5,48.68,OUT,US,10,38.0,516.01,OUT,GB,11,69.4,64.72,OUT,CA,21,56.6,116.67,IN,CA,22,34.8,33.49,OUT,US,8,51.2,199.43,OUT,CA,10,38.8,125.63,OUT,CA,18,39.9,177.18,OUT,US,18,25.0,57.03,IN,US,9,56.5,20.0,IN,GB,14,59.4,78.91,OUT,GB,10,57.3,14.05,OUT,US,14,61.0
761,0,clean,6.43,OUT,US,13,29.2,35.6,IN,US,13,14.5,20.15,OUT,US,13,15.4,57.83,IN,CA,22,12.7,42.08,IN,US,19,58.7,33.63,IN,CA,9,66.9,94.78,IN,US,21,40.3,202.14,OUT,GB,18,27.3,459.0,IN,GB,15,20.2,30.21,IN,US,21,13.9,12.72,IN,US,17,25.1,85.4,IN,US,10,46.7,198.02,OUT,GB,19,67.9,104.68,OUT,US,13,38.7,197.37,IN,US,15,17.7,45.59,IN,CA,21,37.2,33.53,OUT,US,15,44.1,59.88,OUT,US,12,67.7,41.91,IN,US,22,50.9,92.8,OUT,CA,9,39.2,118.61,OUT,GB,17,25.9,126.28,IN,US,9,21.4,82.14,OUT,GB,16,22.5,66.46,IN,GB,19,31.0,103.08,IN,US,12,37.8,11.35,IN,US,18,19.6,64.62,IN,US,20,21.9,56.94,OUT,GB,22,39.0,64.75,OUT,CA,19,66.4,50.9,OUT,US,13,41.7
319,0,clean,40.42,IN,US,9,31.1,34.85,OUT,US,21,19.1,36.91,OUT,US,22,50.6,6.07,IN,US,21,19.3,75.49,OUT,US,11,52.8,27.76,OUT,US,17,15.6,15.06,OUT,CA,17,64.5,99.74,IN,US,14,55.2,22.97,IN,US,20,59.3,41.64,OUT,GB,14,29.1,176.47,OUT,GB,21,45.3,17.68,IN,GB,19,60.9,16.02,IN,GB,20,35.2,67.72,OUT,US,12,36.3,136.95,OUT,US,9,33.6,15.5,IN,US,20,15.9,75.65,OUT,US,14,37.3,86.9,IN,GB,20,59.2,10.51,OUT,CA,21,12.8,103.42,OUT,US,19,14.6,110.09,IN,US,8,48.7,42.55,OUT,US,12,60.3,148.69,OUT,US,12,37.5,135.53,OUT,US,21,46.0,59.29,OUT,US,21,36.2,38.05,OUT,US,14,66.5,25.07,OUT,US,13,61.7,52.98,OUT,GB,11,35.9,86.13,OUT,US,17,53.1,42.13,OUT,US,10,51.2
549,0,clean,227.63,IN,CA,11,46.8,75.35,OUT,CA,12,26.0,90.03,OUT,US,9,44.9,138.6,OUT,US,8,25.1,25.24,IN,US,17,71.5,47.84,IN,US,8,44.8,380.06,IN,GB,10,65.8,51.25,OUT,US,10,22.9,133.37,OUT,GB,21,35.1,118.04,IN,GB,17,56.0,16.74,OUT,US,18,49.5,69.99,OUT,US,21,46.8,61.4,OUT,GB,9,31.5,71.09,IN,CA,17,32.8,29.87,IN,US,12,45.5,22.34,OUT,GB,17,34.0,37.31,OUT,GB,12,24.3,50.49,IN,GB,22,15.0,140.89,IN,CA,17,16.2,233.66,OUT,GB,9,31.6,166.88,IN,US,22,48.2,108.65,IN,US,14,70.3,24.45,IN,CA,20,40.2,39.37,IN,US,19,35.1,64.58,OUT,US,13,14.9,32.92,OUT,GB,8,45.8,86.64,OUT,US,8,51.3,97.16,IN,CA,15,43.0,83.85,OUT,US,15,18.6,123.98,OUT,US,8,49.4
174,0,clean,227.65,IN,US,13,65.6,55.19,OUT,US,9,47.3,45.61,IN,GB,18,19.4,25.97,OUT,US,11,22.8,571.65,OUT,US,13,53.8,23.13,OUT,US,14,18.8,38.74,IN,US,21,53.0,76.15,OUT,CA,11,47.8,88.25,IN,CA,19,37.3,117.49,IN,GB,17,50.9,231.85,OUT,GB,8,27.6,81.85,IN,US,8,34.7,23.46,OUT,US,20,47.6,44.45,OUT,GB,12,20.2,69.84,OUT,CA,14,22.7,285.6,OUT,GB,17,52.9,17.85,OUT,CA,8,38.1,142.89,OUT,US,10,31.6,63.05,OUT,US,14,12.9,106.73,OUT,CA,13,63.9,50.32,IN,GB,15,44.3,27.83,OUT,US,11,59.0,99.55,OUT,GB,8,23.5,92.16,IN,US,12,37.5,118.82,OUT,US,21,59.9,54.02,OUT,US,19,50.0,33.79,IN,CA,18,29.4,15.69,OUT,US,11,32.0,105.16,IN,CA,10,67.5,76.64,IN,US,10,63.3
371,0,clean,15.47,OUT,US,18,62.1,74.87,OUT,US,16,62.6,72.97,OUT,US,18,52.0,138.4,OUT,US,22,16.0,63.07,IN,US,9,51.0,18.64,IN,GB,20,51.4,25.34,OUT,GB,8,16.7,21.21,IN,CA,14,60.6,35.5,IN,CA,18,35.1,47.17,OUT,US,15,55.2,21.49,IN,US,10,22.5,177.07,OUT,GB,16,36.8,18.91,IN,US,11,28.8,160.27,OUT,GB,8,70.6,140.91,OUT,US,8,55.0,112.02,OUT,US,11,62.0,31.34,IN,US,18,32.7,71.81,OUT,US,10,24.1,19.65,OUT,US,14,62.7,113.15,IN,GB,18,39.1,51.46,IN,US,13,32.5,39.35,OUT,GB,8,36.2,20.51,IN,US,19,39.4,7.52,OUT,US,10,63.5,23.79,OUT,US,20,29.0,132.99,IN,GB,13,44.5,39.56,OUT,GB,11,21.6,47.68,IN,US,22,42.5,92.24,OUT,US,12,54.8,231.49,OUT,CA,14,47.2
527,0,clean,12.97,IN,GB,16,46.0,220.89,IN,US,10,54.2,35.73,OUT,US,9,62.6,39.56,IN,GB,12,24.5,67.0,IN,GB,9,26.3,90.02,IN,GB,19,72.0,262.14,IN,CA,17,45.0,14.47,IN,US,18,36.6,105.72,IN,CA,20,32.3,98.93,OUT,US,8,69.1,48.92,OUT,US,21,64.1,102.5,OUT,US,21,64.4,115.29,IN,GB,16,62.4,18.07,IN,US,19,65.2,221.37,OUT,US,20,43.2,15.69,IN,CA,17,59.0,22.02,OUT,US,12,24.8,44.28,OUT,GB,20,61.9,254.67,IN,CA,11,31.8,42.67,OUT,US,11,20.0,53.22,OUT,CA,19,41.4,171.69,IN,US,11,51.9,42.94,IN,US,14,40.5,21.27,OUT,GB,12,63.2,39.1,OUT,US,13,19.3,163.47,OUT,US,16,67.9,57.78,OUT,US,13,33.0,255.83,IN,US,14,41.6,98.53,OUT,CA,14,29.0,32.59,OUT,CA,9,61.4
